ЗНП,Вагон №,Накладная №
58,61042735,ЭЛ973628
35,65322158,ЭЛ973600
35,56748106,ЭЛ973563
36,63128581,10046373
48,28846467,20355355
35,63722664,ЭЛ973074
66,28846673,20362032
46,61922407,10046302
46,61068052,20362449
46,60000841,20362449
46,52806031,20362449
46,61719852,20362449
46,52891058,20362449
46,61032538,20362449
46,62136221,20362449
46,52882693,20362449
46,52791217,20362449
46,61452603,20362449
46,60765427,20362449
46,56651482,20362449
46,60755964,20362449
46,52784162,20362449
46,61473468,20362449
46,63369250,20362449
46,61286944,20362449
46,60828423,20362449
46,61355855,20361551
46,60693587,20361848
46,61996344,20362472
46,63386528,20362617
46,60699584,20361077
46,61901088,20361073
46,65284754,20361066
46,60699808,20361062
54,64714108,10046127
54,64815210,10046130
77,63233514,20361678
77,60831245,20361678
77,60293172,20361678
77,60616752,20361678
77,60617966,20361678
77,62512025,20361678
77,60855376,20361678
77,52891850,20361678
77,60580875,20361678
77,60703204,20361678
77,61013033,20361678
77,62349352,20361678
77,60789989,20361678
77,61062907,20361678
77,62350103,20361678
77,60983954,20361678
77,60694171,20361678
77,60956729,20361678
77,60708914,20361678
77,61109658,20361678
77,61981569,20361678
77,64799869,20361678
77,60685435,20361678
77,60574845,20361678
77,67399931,20361678
77,60393535,20361678
77,62433545,20361678
77,61965851,20361678
77,60754710,20361678
77,60413986,20361678
77,60826625,20361678
77,63389787,20361678
77,52885977,20361678
77,60869807,20361678
77,60377363,20361678
77,61966669,20361678
77,61128682,20361678
77,64803109,20361678
77,60742483,20361678
77,64803000,20361678
77,63966527,20361678
77,63544480,20361678
77,60697927,20361678
77,60833571,20361678
77,67574574,20361678
77,60819562,20361678
77,61003885,20361678
77,60753142,20361678
42,65246209,ЭЛ972608
42,62625173,ЭЛ972608
42,61901062,ЭЛ972608
42,60022563,ЭЛ972608
42,62365648,ЭЛ972597
42,61872230,ЭЛ972597
42,62139506,ЭЛ972597
42,61767984,ЭЛ972597
77,60506011,20361686
77,60577624,20361686
77,52882495,20361686
77,61598751,20361686
77,61123568,20361686
77,61217659,20361686
77,60030327,20361686
77,60122421,20361686
77,60613650,20361686
77,60558954,20361686
77,60293875,20361686
77,61905626,20361686
77,61727434,20361686
77,61266821,20361686
77,60594074,20361686
77,61124145,20361686
77,60785268,20361686
52,60586641,ЭЛ972501
52,55389787,ЭЛ972501
46,55567945,20361148
46,60812187,20361148
46,61902201,20361148
46,56945199,20361148
46,60776283,20361148
46,63623078,20361148
46,56960388,20361148
46,55715072,20361147
46,56652068,20361147
46,63348510,20361147
46,63295075,20361147
46,62592373,20361147
46,61057865,20361147
46,60671575,20361147
46,61079034,20361147
46,60371085,20361147
46,56942337,20361147
46,60765336,20361147
46,60750122,20361147
47,53815304,20360957
47,59267245,20360957
47,55838619,20360957
47,59157727,20360957
47,61216867,20360957
47,57488686,20360957
47,63372445,20360957
47,60827409,20360957
47,66554353,20360957
47,61176517,20360957
47,60345915,20360957
47,54042775,20360957
47,60276805,20360957
47,63474050,20366952
47,55558647,20360957
47,63220503,20360957
47,62290440,20360957
47,60345147,20360957
47,60084555,20360957
47,63219372,20360957
47,56959620,20360957
62,63473722,37487160
42,63615165,ЭЛ971662
62,63267959,37487104
42,60692357,ЭЛ971662
42,61474425,ЭЛ971662
62,63209357,37487065
40,61474235,20362058
40,65318529,20362080
40,63384903,20362100
40,63771331,20362118
40,65285009,20362131
40,65317414,20362154
40,61117552,20362169
40,63895007,20362183
40,65284929,20362202
40,60655842,20362216
37,65147738,ЭЛ971436
46,61032876,10046365
46,60379955,10045971
46,63209043,10045971
46,62438189,10045971
46,60982311,10045971
46,60719275,10046365
46,63574172,10046365
46,52795853,10045971
46,63544779,10046103
46,62401732,10046103
46,61424057,10045971
46,56061955,10046103
46,60470069,10046103
46,53815064,10045971
46,52783941,10046103
46,56931447,10045971
52,60854288,ЭЛ971175
52,63544225,ЭЛ971175
36,61356143,00513558
36,65319543,00513562
36,63622872,00513531
64,55389696,20361301
64,55718142,20361304
64,59780023,20361303
64,63236186,20361298
64,63390405,20361297
64,63123665,20361295
64,63242622,20361293
64,60025913,20361289
64,60731288,20361287
64,55549851,20361285
49,63371017,ЭЛ967399
49,59397349,ЭЛ967399
54,64477714,ЭЛ970529
54,62670138,ЭЛ970529
54,62765011,ЭЛ970529
36,65284838,00511280
36,65572273,00511280
39,56624133,ЭЛ969486
39,63265318,ЭЛ966597
39,61901054,ЭЛ954071
39,56311772,ЭЛ954078
439,63265920,ЭЛ970243
415,55689582,ЭЛ970243
506,52836392,ЭЛ970243
454,60674421,ЭЛ970243
465,60103108,ЭЛ970243
24,60819265,ЭЛ970243
454,57489072,ЭЛ970243
24,55685887,ЭЛ970243
520,54042767,ЭЛ970243
24,60672615,ЭЛ970243
24,63202964,ЭЛ970243
489,63371082,ЭЛ970243
520,61463600,ЭЛ970243
24,55838569,ЭЛ970243
439,61300364,ЭЛ970243
19,62520341,ЭЛ970243
487,60601242,ЭЛ970243
487,54740410,ЭЛ970243
526,52809845,ЭЛ970243
530,60831641,ЭЛ970243
24,57507600,ЭЛ970243
488,52885860,ЭЛ970243
416,61085429,ЭЛ970243
24,56641723,ЭЛ970243
24,61033387,ЭЛ970243
74,61475067,ЭЛ967482
439,61208914,ЭЛ970243
519,60608007,ЭЛ970243
487,59282467,ЭЛ970243
24,63295265,ЭЛ970243
74,63722557,ЭЛ967501
544,61441036,ЭЛ970243
520,56849573,ЭЛ970243
74,65318222,ЭЛ967516
74,65339970,ЭЛ967521
74,65342875,ЭЛ967532
49,60511417,ЭЛ967399
49,52891108,ЭЛ967399
49,63368609,ЭЛ967399
49,60608908,ЭЛ967399
49,60945714,ЭЛ967399
49,60142247,ЭЛ967399
36,63615611,00513546
36,65320160,00533530
46,63370415,10045743
98,64965155,ЭЛ969947
98,60618667,ЭЛ969947
98,55564355,ЭЛ969945
98,60814266,ЭЛ969945
64,56854185,20361201
64,61356473,20361198
64,55390249,20361190
64,60312717,20361196
64,57915902,20361182
64,52886249,20361179
64,60554334,20361164
64,63415582,20361209
64,55715197,20361200
64,56923360,20361206
64,62255476,20361193
64,63123905,20361211
64,55616015,20361203
64,60391604,20361186
62,60664968,37486805
62,60676822,37486915
52,56654775,ЭЛ969820
52,60381951,ЭЛ969820
52,52809589,ЭЛ969822
52,60028958,ЭЛ969822
52,56590375,ЭЛ969822
52,60396538,ЭЛ969822
52,63576029,ЭЛ969822
52,62592357,ЭЛ969822
46,53523031,10045743
46,63472971,10045743
46,52890647,10045743
46,60722246,10045741
46,52806171,10045741
46,63416184,10045741
46,60705761,10045743
46,52850385,10045743
46,60513314,10045741
46,60386158,10045743
46,62289624,10045743
46,61072260,10045741
46,56931975,10045741
46,52768074,10045741
48,28858249,20355327
48,28846632,20355333
48,28850014,20355363
48,28858330,20355374
49,62072251,ЭЛ969308
49,56848054,ЭЛ969308
49,60618048,ЭЛ969308
